164,-1972,16024,160,93,-148
44,-2048,15892,165,6,-146
180,-1896,15820,202,-75,-141
352,-1900,15912,185,-145,-96
244,-1772,15952,264,-184,-45
352,-1924,15904,291,-265,80
292,-1860,15680,311,-147,127
200,-1920,16032,293,64,187
56,-1880,15960,256,125,199
-84,-1808,16136,215,-71,141
-76,-1916,16196,163,-224,85
228,-2104,16008,156,-46,44
188,-1980,16076,156,187,39
120,-1908,16084,118,323,3
128,-1876,16080,89,338,5
212,-1832,15968,79,404,2
76,-1844,15964,101,431,-8
124,-1768,15940,88,345,27
160,-1780,15948,96,302,22
228,-1788,15928,117,249,81
160,-1656,16036,115,132,123
68,-2008,15984,122,-81,175
88,-1996,15748,122,-68,158
-24,-1980,15856,176,1,146
-72,-1804,15896,161,46,58
-28,-1960,16128,138,-28,59
140,-1892,16012,146,-83,46
144,-1948,16008,139,-44,45
208,-1848,16016,153,19,126
156,-1936,15964,133,96,100
156,-2004,15844,129,153,129
192,-1956,15916,118,216,86
112,-1956,15776,178,300,83
144,-1756,15984,182,396,85
128,-1744,15776,199,312,84
8,-1764,15968,203,224,82
24,-1748,15932,221,192,96
-92,-1688,15888,237,210,72
-4,-1776,16000,223,199,-26
-40,-1884,16040,229,170,-54
-140,-1900,16172,166,61,-100
24,-1828,15804,118,120,-169
60,-1792,16048,96,201,-210
160,-1844,16012,72,176,-224
172,-1844,15936,110,178,-213
244,-1828,15972,150,176,-182
260,-2036,15992,169,167,-175
240,-2156,15936,220,302,-80
364,-2280,15532,221,726,-133
236,-2268,15896,359,788,-115
52,-1928,16168,408,359,-80
264,-1936,15856,408,267,-47
388,-2008,15684,362,528,60
328,-1776,15676,385,857,120
8,-1672,16144,377,810,145
-44,-1668,16124,381,549,173
28,-1776,16116,361,310,152
-20,-1756,16120,419,100,197
140,-1588,16224,430,-3,255
232,-1580,15980,384,71,306
52,-1688,15944,376,291,336
-12,-1560,15928,332,322,393
-160,-1648,15976,266,210,337
-212,-1796,16112,204,44,356
-56,-1660,16076,147,-62,297
-56,-1628,16000,111,-145,281
-44,-1692,15892,181,-264,222
-200,-1884,16092,246,-506,273
32,-1740,15692,266,-523,162
44,-1584,15732,492,-205,76
-216,-1552,15832,556,-149,15
-304,-1780,15980,579,-408,-45
-124,-1732,15856,535,-618,-175
-32,-1648,15876,545,-523,-295
-196,-1816,16100,514,-567,-372
-108,-2104,16020,361,-670,-454
-60,-1788,16108,291,-453,-513
8,-1836,16196,172,-309,-639
164,-1808,16200,92,-330,-662
308,-1724,16200,78,-338,-671
408,-1864,15996,72,-214,-585
504,-1856,16028,93,-147,-511
528,-1776,16012,56,-149,-367
520,-1780,15884,21,-64,-256
464,-1740,15860,-46,1,-95
328,-1936,15992,-70,7,-31
136,-1984,15988,-91,-69,-30
364,-1852,15972,-70,-171,30
472,-1832,15936,-49,-256,81
340,-1684,15812,18,-291,161
508,-1732,15716,67,-240,227
380,-1784,15852,191,-82,351
284,-1632,15736,254,62,402
